sensor_id,timestamp,pm2_5,pm10,so2,no2,health_environment
3,2025-03-30T14:18:36.156322,107.37,145.93,5.21,244.99,moderate
3,2025-03-30T14:18:37.157070,56.03,3.37,18.41,332.79,moderate
3,2025-03-30T14:18:38.157897,245.24,415.19,215.29,251.66,unhealthy
3,2025-03-30T14:18:39.158653,124.27,176.78,140.46,82.98,unhealthy
3,2025-03-30T14:18:40.159228,240.55,104.25,296.26,61.01,unhealthy
3,2025-03-30T14:18:41.160019,222.17,232.61,4.46,164.58,unhealthy
3,2025-03-30T14:18:42.160910,8.05,348.68,283.35,105.51,unhealthy
3,2025-03-30T14:18:43.161622,148.68,256.48,0.35,459.09,unhealthy
3,2025-03-30T14:18:44.162045,59.84,435.21,200.08,327.26,unhealthy
3,2025-03-30T14:18:45.162752,248.46,296.18,112.79,375.21,unhealthy
3,2025-03-30T14:18:46.163739,45.43,430.93,232.66,252.21,unhealthy
3,2025-03-30T14:18:47.164646,114.45,425.35,54.97,246.57,unhealthy
3,2025-03-30T14:18:48.165276,214.99,389.61,193.25,18.61,unhealthy
3,2025-03-30T14:18:49.165743,78.95,255.2,241.5,359.69,unhealthy
3,2025-03-30T14:18:50.166661,108.99,204.92,113.47,291.82,unhealthy
3,2025-03-30T14:18:51.167117,79.19,126.64,244.28,252.58,moderate
3,2025-03-30T14:18:52.168048,236.58,364.12,91.58,175.22,unhealthy
3,2025-03-30T14:18:53.168699,224.44,207.25,191.0,265.35,unhealthy
3,2025-03-30T14:18:54.169279,138.76,348.77,24.08,146.59,unhealthy
3,2025-03-30T14:18:55.170106,4.64,453.43,28.65,16.4,moderate
3,2025-03-30T14:18:56.171239,123.88,21.88,79.85,144.42,moderate
3,2025-03-30T14:18:57.172115,46.57,391.41,239.22,252.42,unhealthy
3,2025-03-30T14:18:58.173131,147.67,477.03,258.75,164.47,unhealthy
3,2025-03-30T14:18:59.173594,186.97,194.11,186.58,334.76,unhealthy
3,2025-03-30T14:19:00.174507,240.58,120.21,201.82,54.61,unhealthy
3,2025-03-30T14:19:01.175066,54.38,448.6,104.42,486.22,unhealthy
3,2025-03-30T14:19:02.175875,25.37,109.93,235.5,387.57,unhealthy
3,2025-03-30T14:19:03.176380,60.56,20.03,66.74,445.92,moderate
3,2025-03-30T14:19:04.177577,16.99,392.76,45.25,359.16,unhealthy
3,2025-03-30T14:19:05.178886,1.3,40.27,245.64,163.35,moderate
3,2025-03-30T14:19:06.180085,19.73,167.11,141.24,29.46,unhealthy
3,2025-03-30T14:19:07.180904,82.68,104.97,272.4,253.48,moderate
3,2025-03-30T14:19:08.181717,34.91,277.38,211.26,313.87,unhealthy
3,2025-03-30T14:19:09.182433,72.11,187.39,239.86,207.73,unhealthy
3,2025-03-30T14:19:10.183265,246.3,145.37,49.8,150.3,moderate
3,2025-03-30T14:19:11.183824,76.4,163.23,62.59,387.27,unhealthy
3,2025-03-30T14:19:12.184379,29.52,3.76,257.75,253.01,moderate
3,2025-03-30T14:19:13.185199,71.31,24.32,64.19,71.79,good
3,2025-03-30T14:19:14.185727,180.07,487.37,51.55,24.94,unhealthy
3,2025-03-30T14:19:15.186433,63.06,459.13,173.65,482.08,unhealthy
3,2025-03-30T14:19:16.186941,40.43,100.93,272.76,156.53,moderate
3,2025-03-30T14:19:17.187842,85.9,493.49,252.31,352.68,unhealthy
3,2025-03-30T14:19:18.188930,98.22,157.22,172.88,170.53,unhealthy
3,2025-03-30T14:19:19.189459,92.91,36.15,165.64,277.87,unhealthy
3,2025-03-30T14:19:20.190567,36.88,304.54,147.8,213.63,unhealthy
3,2025-03-30T14:19:21.191289,62.21,250.2,282.2,253.79,unhealthy
3,2025-03-30T14:19:22.191820,53.66,297.22,32.27,245.85,moderate
3,2025-03-30T14:19:23.193096,176.92,448.0,166.12,325.46,unhealthy
3,2025-03-30T14:19:24.194019,71.19,382.95,254.2,88.25,unhealthy
3,2025-03-30T14:19:25.194965,177.5,163.47,159.17,320.72,unhealthy
3,2025-03-30T14:19:26.196025,224.19,76.31,252.27,276.48,unhealthy
3,2025-03-30T14:19:27.196912,108.65,251.29,95.48,63.87,unhealthy
3,2025-03-30T14:19:28.197897,142.42,359.26,93.37,336.88,unhealthy
3,2025-03-30T14:19:29.198727,57.0,384.42,59.99,243.3,unhealthy
3,2025-03-30T14:19:30.199048,217.0,311.54,259.08,115.7,unhealthy
3,2025-03-30T14:19:31.199387,67.01,493.13,153.51,437.42,unhealthy
3,2025-03-30T14:19:32.200205,154.43,476.39,91.27,153.06,unhealthy
3,2025-03-30T14:19:33.200518,220.81,335.06,143.06,363.75,unhealthy
3,2025-03-30T14:19:34.201103,187.35,396.83,96.02,364.83,unhealthy
3,2025-03-30T14:19:35.201759,220.84,60.93,49.56,34.3,moderate
3,2025-03-30T14:19:36.202744,34.79,264.13,74.42,247.19,moderate
3,2025-03-30T14:19:37.203718,244.67,119.15,3.41,336.75,unhealthy
3,2025-03-30T14:19:38.204262,90.57,378.9,11.86,245.2,moderate
3,2025-03-30T14:19:39.204731,38.93,497.81,184.04,85.04,unhealthy
3,2025-03-30T14:19:40.205398,235.23,279.04,81.78,112.11,unhealthy
3,2025-03-30T14:19:41.206309,108.39,42.09,268.97,242.81,unhealthy
3,2025-03-30T14:19:42.206799,142.29,176.48,137.28,317.47,unhealthy
3,2025-03-30T14:19:43.208030,213.34,224.84,237.11,267.97,unhealthy
3,2025-03-30T14:19:44.208519,43.01,347.66,261.9,29.66,unhealthy
3,2025-03-30T14:19:45.209683,23.48,89.06,52.13,100.62,good
3,2025-03-30T14:19:46.210117,73.09,253.6,218.0,135.87,unhealthy
3,2025-03-30T14:19:47.210904,140.79,448.0,273.72,155.34,unhealthy
3,2025-03-30T14:19:48.211401,234.8,498.6,119.18,248.61,unhealthy
3,2025-03-30T14:19:49.211889,4.63,415.51,264.19,165.92,unhealthy
3,2025-03-30T14:19:50.212564,204.89,333.57,293.45,254.14,unhealthy
3,2025-03-30T14:19:51.212953,33.45,144.55,222.76,105.43,moderate
3,2025-03-30T14:19:52.213793,5.21,103.02,95.68,166.55,good
3,2025-03-30T14:19:53.215048,154.52,325.16,273.79,245.7,unhealthy
3,2025-03-30T14:19:54.215926,168.77,358.1,151.59,38.25,unhealthy
3,2025-03-30T14:19:55.216389,56.28,308.02,96.52,205.24,unhealthy
3,2025-03-30T14:19:56.217016,164.62,85.85,281.53,162.92,unhealthy
3,2025-03-30T14:19:57.218086,66.04,187.49,204.34,377.71,unhealthy
3,2025-03-30T14:19:58.218545,177.88,491.83,230.27,92.39,unhealthy
3,2025-03-30T14:19:59.219457,149.81,448.48,90.47,389.72,unhealthy
3,2025-03-30T14:20:00.220044,42.28,227.09,189.29,312.34,unhealthy
3,2025-03-30T14:20:01.220914,139.03,293.29,180.87,324.78,unhealthy
3,2025-03-30T14:20:02.221570,71.13,398.68,175.1,339.78,unhealthy
3,2025-03-30T14:20:03.222471,160.74,66.68,250.4,353.52,unhealthy
3,2025-03-30T14:20:04.223413,71.57,119.07,65.05,246.89,good
3,2025-03-30T14:20:05.223918,179.56,282.51,113.21,497.32,unhealthy
3,2025-03-30T14:20:06.224490,175.8,56.97,162.95,450.22,unhealthy
3,2025-03-30T14:20:07.225283,221.27,34.43,224.1,363.06,unhealthy
3,2025-03-30T14:20:08.226118,135.4,394.23,273.04,384.97,unhealthy
3,2025-03-30T14:20:09.226496,14.18,206.89,8.78,291.75,unhealthy
3,2025-03-30T14:20:10.227188,211.9,372.48,24.95,245.61,unhealthy
3,2025-03-30T14:20:11.228117,7.98,309.43,284.36,488.54,unhealthy
3,2025-03-30T14:20:12.228782,93.95,459.47,170.09,425.5,unhealthy
3,2025-03-30T14:20:13.229495,223.06,451.23,3.43,443.87,unhealthy
3,2025-03-30T14:20:14.230430,27.8,32.11,141.12,293.53,unhealthy
3,2025-03-30T14:20:15.230999,239.66,153.44,65.4,13.26,unhealthy
3,2025-03-30T14:20:16.231885,204.23,72.51,17.55,266.85,unhealthy
3,2025-03-30T14:20:17.232575,234.78,65.77,115.31,248.48,unhealthy
3,2025-03-30T14:20:18.233134,55.45,283.58,168.41,374.19,unhealthy
3,2025-03-30T14:20:19.233708,102.14,306.14,217.13,205.1,unhealthy
3,2025-03-30T14:20:20.234504,230.35,181.58,122.86,248.72,unhealthy
3,2025-03-30T14:20:21.235583,52.91,469.56,174.58,302.95,unhealthy
3,2025-03-30T14:20:22.236764,76.03,218.8,247.79,252.69,unhealthy
3,2025-03-30T14:20:23.237477,198.55,66.23,72.5,432.8,unhealthy
3,2025-03-30T14:20:24.238319,86.51,358.98,30.06,466.46,unhealthy
3,2025-03-30T14:20:25.238825,188.99,196.73,162.45,81.35,unhealthy
3,2025-03-30T14:20:26.239232,14.44,377.26,280.6,298.82,unhealthy
3,2025-03-30T14:20:27.239736,109.07,164.35,23.3,49.12,unhealthy
3,2025-03-30T14:20:28.240520,54.76,309.79,138.33,174.7,unhealthy
3,2025-03-30T14:20:29.240798,248.4,63.38,112.79,275.28,unhealthy
3,2025-03-30T14:20:30.241704,188.96,434.39,267.79,142.74,unhealthy
3,2025-03-30T14:20:31.242535,73.88,119.87,108.57,192.57,moderate
3,2025-03-30T14:20:32.243045,140.86,307.56,191.21,206.29,unhealthy
3,2025-03-30T14:20:33.243524,93.74,214.61,172.52,468.9,unhealthy
3,2025-03-30T14:20:34.244372,219.21,314.21,66.45,246.93,unhealthy
3,2025-03-30T14:20:35.245229,44.93,98.53,259.31,359.53,unhealthy
3,2025-03-30T14:20:36.245687,195.99,259.82,65.17,238.72,unhealthy
3,2025-03-30T14:20:37.246160,119.08,317.37,232.74,499.9,unhealthy
3,2025-03-30T14:20:38.246609,142.34,418.14,158.01,391.44,unhealthy
3,2025-03-30T14:20:39.247180,111.47,115.53,187.96,246.87,unhealthy
3,2025-03-30T14:20:40.247849,5.89,400.47,213.88,231.7,unhealthy
3,2025-03-30T14:20:41.248344,117.48,278.91,182.97,161.82,unhealthy
3,2025-03-30T14:20:42.249468,69.12,299.2,160.36,209.59,unhealthy
3,2025-03-30T14:20:43.250107,29.02,245.63,103.84,471.89,unhealthy
3,2025-03-30T14:20:44.250496,143.62,148.68,277.73,208.68,unhealthy
3,2025-03-30T14:20:45.251476,42.88,312.69,48.02,274.45,unhealthy
3,2025-03-30T14:20:46.252423,58.22,280.85,129.97,144.12,unhealthy
3,2025-03-30T14:20:47.253119,67.27,273.74,149.44,111.11,unhealthy
3,2025-03-30T14:20:48.253978,128.9,366.13,158.17,203.97,unhealthy
3,2025-03-30T14:20:49.254845,241.51,131.4,122.37,457.86,unhealthy
3,2025-03-30T14:20:50.255503,212.71,364.52,251.6,252.81,unhealthy
3,2025-03-30T14:20:51.255930,44.76,232.87,118.54,248.59,unhealthy
3,2025-03-30T14:20:52.256220,130.89,121.01,192.16,250.93,unhealthy
3,2025-03-30T14:20:53.256696,197.47,496.5,177.48,16.43,unhealthy
3,2025-03-30T14:20:54.257118,58.29,174.15,104.74,372.3,unhealthy
3,2025-03-30T14:20:55.257841,201.55,243.59,141.27,63.88,unhealthy
3,2025-03-30T14:20:56.258460,163.85,256.58,182.72,51.72,unhealthy
3,2025-03-30T14:20:57.258791,46.43,65.76,2.21,167.68,good
3,2025-03-30T14:20:58.259537,186.77,364.76,12.2,264.73,unhealthy
3,2025-03-30T14:20:59.261083,239.64,391.11,279.02,342.51,unhealthy
3,2025-03-30T14:21:00.261517,95.85,457.13,220.88,46.5,unhealthy
3,2025-03-30T14:21:01.262253,119.67,481.56,226.22,252.01,unhealthy
3,2025-03-30T14:21:02.262716,88.79,270.38,291.88,254.09,unhealthy
3,2025-03-30T14:21:03.263222,213.5,411.28,9.26,245.12,unhealthy
3,2025-03-30T14:21:04.263602,190.2,238.61,297.71,254.28,unhealthy
3,2025-03-30T14:21:05.264215,224.72,130.95,139.58,249.26,unhealthy
3,2025-03-30T14:21:06.265259,224.64,348.58,241.94,471.87,unhealthy
3,2025-03-30T14:21:07.266031,202.05,142.43,240.89,252.47,unhealthy
3,2025-03-30T14:21:08.266468,137.92,371.62,21.06,406.16,unhealthy
3,2025-03-30T14:21:09.266920,82.82,322.67,30.24,245.78,moderate
3,2025-03-30T14:21:10.267380,230.82,438.61,241.08,358.27,unhealthy
3,2025-03-30T14:21:11.268010,230.28,299.92,161.11,40.09,unhealthy
3,2025-03-30T14:21:12.268419,183.98,460.38,143.89,328.59,unhealthy
3,2025-03-30T14:21:13.269065,180.03,259.08,221.98,439.41,unhealthy
3,2025-03-30T14:21:14.269650,27.87,418.82,234.9,396.93,unhealthy
3,2025-03-30T14:21:15.270105,159.0,172.84,155.85,426.86,unhealthy
3,2025-03-30T14:21:16.270828,87.49,8.35,216.59,405.25,unhealthy
3,2025-03-30T14:21:17.271250,138.97,382.23,135.52,313.45,unhealthy
3,2025-03-30T14:21:18.272064,7.31,73.2,66.0,165.6,good
3,2025-03-30T14:21:19.272566,126.5,77.41,140.57,159.4,unhealthy
3,2025-03-30T14:21:20.273333,152.2,4.24,278.69,486.31,unhealthy
3,2025-03-30T14:21:21.274053,129.23,294.6,122.24,222.67,unhealthy
3,2025-03-30T14:21:22.274542,156.19,444.81,116.22,292.04,unhealthy
3,2025-03-30T14:21:23.275099,226.26,391.71,203.39,476.5,unhealthy
3,2025-03-30T14:21:24.275963,196.63,486.66,24.32,167.73,unhealthy
3,2025-03-30T14:21:25.276610,74.66,286.29,286.46,253.92,unhealthy
3,2025-03-30T14:21:26.277534,221.29,136.39,190.91,351.44,unhealthy
3,2025-03-30T14:21:27.277993,167.25,411.39,275.46,253.57,unhealthy
3,2025-03-30T14:21:28.278573,4.38,483.2,199.61,22.24,unhealthy
3,2025-03-30T14:21:29.278960,164.3,308.37,268.96,333.12,unhealthy
3,2025-03-30T14:21:30.279664,123.93,103.93,59.82,9.21,moderate
3,2025-03-30T14:21:31.280175,68.38,6.07,64.72,143.6,good
3,2025-03-30T14:21:32.280698,12.35,45.34,229.24,349.42,unhealthy
3,2025-03-30T14:21:33.281412,201.83,305.33,99.01,82.63,unhealthy
3,2025-03-30T14:21:34.281914,219.29,62.7,284.02,486.42,unhealthy
3,2025-03-30T14:21:35.282772,155.23,82.22,208.72,267.66,unhealthy
3,2025-03-30T14:21:36.283289,60.07,380.04,299.18,254.33,unhealthy
3,2025-03-30T14:21:37.283551,1.16,108.4,196.75,251.07,moderate
3,2025-03-30T14:21:38.284417,191.04,415.44,240.82,293.69,unhealthy
3,2025-03-30T14:21:39.285193,37.35,479.37,245.22,461.31,unhealthy
3,2025-03-30T14:21:40.286006,197.24,412.64,260.54,5.64,unhealthy
3,2025-03-30T14:21:41.286671,132.36,61.09,30.79,245.8,moderate
3,2025-03-30T14:21:42.287550,11.78,121.57,272.25,143.73,moderate
3,2025-03-30T14:21:43.288181,216.48,238.66,177.36,439.27,unhealthy
3,2025-03-30T14:21:44.288666,32.81,178.97,126.84,493.7,unhealthy
3,2025-03-30T14:21:45.289428,186.21,328.46,206.93,268.37,unhealthy
3,2025-03-30T14:21:46.290316,212.24,439.66,229.37,252.11,unhealthy
3,2025-03-30T14:21:47.290924,188.98,218.8,137.93,249.2,unhealthy
3,2025-03-30T14:21:48.291274,14.97,53.35,142.74,371.67,unhealthy
3,2025-03-30T14:21:49.292022,103.61,18.86,175.74,250.4,unhealthy
3,2025-03-30T14:21:50.292607,112.27,345.91,166.52,250.11,unhealthy
3,2025-03-30T14:21:51.293396,68.74,223.93,6.16,407.21,unhealthy
3,2025-03-30T14:21:52.294021,205.69,403.13,252.25,316.2,unhealthy
3,2025-03-30T14:21:53.294652,145.79,278.48,297.41,254.27,unhealthy
3,2025-03-30T14:21:54.295398,73.0,325.13,155.54,249.76,unhealthy
3,2025-03-30T14:21:55.296250,247.06,383.48,110.45,238.31,unhealthy
3,2025-03-30T14:21:56.297247,188.09,112.92,101.54,333.33,unhealthy
3,2025-03-30T14:21:57.297568,23.74,40.76,43.29,57.99,good
3,2025-03-30T14:21:58.298544,142.49,10.25,93.19,458.71,unhealthy
3,2025-03-30T14:21:59.299670,12.81,309.14,165.05,195.22,unhealthy
3,2025-03-30T14:22:00.300253,245.61,396.97,121.14,478.82,unhealthy
3,2025-03-30T14:22:01.301084,23.1,454.37,192.09,250.92,unhealthy
3,2025-03-30T14:22:02.301856,141.08,339.26,215.73,172.12,unhealthy
3,2025-03-30T14:22:03.302616,45.5,125.98,134.12,478.25,unhealthy
3,2025-03-30T14:22:04.303104,131.53,442.59,188.14,265.43,unhealthy
3,2025-03-30T14:22:05.303723,28.81,240.57,61.39,404.08,unhealthy
3,2025-03-30T14:22:06.304163,125.37,90.66,160.79,402.77,unhealthy
3,2025-03-30T14:22:07.304739,134.71,364.27,125.97,133.13,unhealthy
3,2025-03-30T14:22:08.305291,85.87,393.83,279.76,272.86,unhealthy
3,2025-03-30T14:22:09.305861,112.71,85.08,278.16,486.65,unhealthy
3,2025-03-30T14:22:10.306655,222.52,247.81,201.19,288.7,unhealthy
3,2025-03-30T14:22:11.307145,165.89,454.36,235.52,253.41,unhealthy
3,2025-03-30T14:22:12.307967,213.72,412.66,56.27,461.81,unhealthy
3,2025-03-30T14:22:13.308859,96.45,414.35,192.45,55.94,unhealthy
3,2025-03-30T14:22:14.309603,146.61,155.91,231.6,252.18,unhealthy
3,2025-03-30T14:22:15.310295,194.31,71.1,223.38,251.92,unhealthy
3,2025-03-30T14:22:16.311067,237.1,218.38,207.99,254.91,unhealthy
3,2025-03-30T14:22:17.311829,136.61,78.67,29.72,438.03,unhealthy
3,2025-03-30T14:22:18.312294,199.81,441.39,92.04,2.62,unhealthy
3,2025-03-30T14:22:19.313186,87.66,380.82,283.86,423.11,unhealthy
3,2025-03-30T14:22:20.313974,13.35,296.63,139.33,328.05,unhealthy
3,2025-03-30T14:22:21.314853,120.51,194.02,176.92,372.74,unhealthy
3,2025-03-30T14:22:22.315514,36.87,247.2,152.57,284.53,unhealthy
3,2025-03-30T14:22:23.315965,239.07,465.48,129.66,101.89,unhealthy
3,2025-03-30T14:22:24.317020,143.21,98.38,5.16,468.42,unhealthy
3,2025-03-30T14:22:25.317517,83.66,245.54,15.35,25.0,moderate
3,2025-03-30T14:22:26.318409,21.21,275.47,56.87,246.63,moderate
3,2025-03-30T14:22:27.319090,163.51,68.06,121.87,248.69,unhealthy
3,2025-03-30T14:22:28.319976,21.93,72.58,64.91,326.93,moderate
3,2025-03-30T14:22:29.320920,180.21,100.19,78.48,131.25,moderate
3,2025-03-30T14:22:30.321230,220.33,318.62,125.55,318.56,unhealthy
3,2025-03-30T14:22:31.322023,115.38,194.04,31.42,362.45,unhealthy
3,2025-03-30T14:22:32.323156,192.17,333.02,144.38,341.58,unhealthy
3,2025-03-30T14:22:33.324319,148.47,383.75,209.81,80.18,unhealthy
3,2025-03-30T14:22:34.325032,48.08,292.77,248.35,300.69,unhealthy
3,2025-03-30T14:22:35.325884,75.15,472.16,33.83,257.68,unhealthy
3,2025-03-30T14:22:36.326287,244.57,319.94,64.63,301.55,unhealthy
3,2025-03-30T14:22:37.326816,165.23,365.74,251.54,338.81,unhealthy
3,2025-03-30T14:22:38.327684,243.35,189.07,8.0,335.41,unhealthy
3,2025-03-30T14:22:39.328225,109.99,276.91,180.91,417.02,unhealthy
3,2025-03-30T14:22:40.329042,218.92,89.22,260.97,257.78,unhealthy
3,2025-03-30T14:22:41.329323,58.35,16.49,16.97,88.81,good
3,2025-03-30T14:22:42.330201,128.86,430.74,163.29,287.5,unhealthy
3,2025-03-30T14:22:43.330958,119.37,498.26,114.56,248.46,unhealthy
3,2025-03-30T14:22:44.331715,102.87,132.17,274.68,483.65,unhealthy
3,2025-03-30T14:22:45.332282,134.03,450.16,28.71,171.73,unhealthy
3,2025-03-30T14:22:46.332973,131.38,427.93,244.68,252.59,unhealthy
3,2025-03-30T14:22:47.333656,155.52,308.32,72.93,256.95,unhealthy
3,2025-03-30T14:22:48.334132,153.06,81.48,74.92,420.96,unhealthy
3,2025-03-30T14:22:49.334963,145.03,55.52,202.92,238.77,unhealthy
3,2025-03-30T14:22:50.335814,221.58,341.68,273.07,396.72,unhealthy
3,2025-03-30T14:22:51.336343,13.72,211.97,259.41,375.94,unhealthy
3,2025-03-30T14:22:52.336872,41.75,72.72,2.93,280.67,moderate
3,2025-03-30T14:22:53.337553,185.46,353.98,238.05,30.53,unhealthy
3,2025-03-30T14:22:54.338304,104.3,194.63,229.44,453.67,unhealthy
3,2025-03-30T14:22:55.339129,83.59,116.01,205.38,327.27,unhealthy
3,2025-03-30T14:22:56.339717,27.69,73.71,289.54,254.02,moderate
3,2025-03-30T14:22:57.340420,84.14,151.68,37.59,377.79,unhealthy
3,2025-03-30T14:22:58.340967,75.08,280.28,129.99,277.8,unhealthy
3,2025-03-30T14:22:59.341494,106.04,404.16,51.61,246.46,unhealthy
3,2025-03-30T14:23:00.342350,55.57,493.31,172.76,310.47,unhealthy
3,2025-03-30T14:23:01.343151,247.11,131.5,26.05,202.96,unhealthy
3,2025-03-30T14:23:02.344099,190.02,368.11,183.84,250.66,unhealthy
3,2025-03-30T14:23:03.344961,26.97,215.19,50.52,320.39,unhealthy
3,2025-03-30T14:23:04.345731,92.44,241.98,228.21,336.84,unhealthy
3,2025-03-30T14:23:05.346374,74.3,416.14,216.79,282.32,unhealthy
3,2025-03-30T14:23:06.347497,50.8,266.05,236.65,484.1,unhealthy
3,2025-03-30T14:23:07.348187,117.93,141.61,229.14,265.49,unhealthy
3,2025-03-30T14:23:08.348857,95.4,147.89,86.63,269.78,moderate
3,2025-03-30T14:23:09.350016,151.55,93.83,206.8,81.43,unhealthy
3,2025-03-30T14:23:10.350586,202.07,242.9,214.03,251.62,unhealthy
3,2025-03-30T14:23:11.351187,248.95,196.49,186.35,250.74,unhealthy
3,2025-03-30T14:23:12.351696,219.62,143.24,57.28,246.64,moderate
3,2025-03-30T14:23:13.352348,96.02,471.82,159.59,249.89,unhealthy
3,2025-03-30T14:23:14.353130,236.11,6.35,289.78,169.69,unhealthy
3,2025-03-30T14:23:15.353836,197.9,195.87,75.32,287.19,unhealthy
3,2025-03-30T14:23:16.355188,202.29,176.22,149.38,443.22,unhealthy
3,2025-03-30T14:23:17.355922,171.15,487.64,130.61,306.41,unhealthy
3,2025-03-30T14:23:18.356361,145.78,9.55,74.4,247.18,moderate
3,2025-03-30T14:23:19.356928,217.18,251.16,91.81,214.64,unhealthy
3,2025-03-30T14:23:20.357540,118.5,294.85,61.17,238.57,unhealthy
3,2025-03-30T14:23:21.358226,17.31,280.85,133.16,249.05,unhealthy
3,2025-03-30T14:23:22.358492,53.46,395.36,14.09,245.27,moderate
3,2025-03-30T14:23:23.359279,196.64,364.59,201.1,479.3,unhealthy
3,2025-03-30T14:23:24.359816,92.18,12.77,156.95,451.16,unhealthy
3,2025-03-30T14:23:25.360558,229.28,319.72,165.35,250.07,unhealthy
3,2025-03-30T14:23:26.361181,191.1,197.59,114.48,411.85,unhealthy
3,2025-03-30T14:23:27.362174,74.73,469.71,194.97,148.25,unhealthy
3,2025-03-30T14:23:28.362444,131.42,417.81,219.38,305.6,unhealthy
3,2025-03-30T14:23:29.363068,86.87,153.25,34.66,5.25,moderate
3,2025-03-30T14:23:30.363586,225.98,181.21,271.61,467.93,unhealthy
3,2025-03-30T14:23:31.364453,109.43,475.03,151.37,314.13,unhealthy
3,2025-03-30T14:23:32.364921,47.5,81.72,24.31,410.14,moderate
3,2025-03-30T14:23:33.366085,232.1,142.76,247.01,254.28,unhealthy
3,2025-03-30T14:23:34.366365,137.53,66.64,258.73,201.02,unhealthy
3,2025-03-30T14:23:35.366727,26.63,227.16,80.31,81.61,moderate
3,2025-03-30T14:23:36.367682,101.96,437.78,143.64,488.61,unhealthy
3,2025-03-30T14:23:37.368256,148.12,494.1,172.65,290.53,unhealthy
3,2025-03-30T14:23:38.368624,113.36,491.95,62.07,375.21,unhealthy
3,2025-03-30T14:23:39.369329,172.34,331.83,100.26,333.2,unhealthy
3,2025-03-30T14:23:40.370051,59.4,130.57,21.97,12.14,good
3,2025-03-30T14:23:41.370619,202.29,40.39,129.48,124.48,unhealthy
3,2025-03-30T14:23:42.371318,33.95,317.85,42.87,109.81,moderate
3,2025-03-30T14:23:43.371810,249.66,342.61,165.48,63.07,unhealthy
3,2025-03-30T14:23:44.372507,199.54,497.81,139.27,450.48,unhealthy
3,2025-03-30T14:23:45.373214,48.48,311.81,57.89,109.04,moderate
3,2025-03-30T14:23:46.374030,75.11,288.14,278.32,315.58,unhealthy
3,2025-03-30T14:23:47.374589,235.08,8.56,231.37,252.17,unhealthy
3,2025-03-30T14:23:48.375493,238.88,31.83,61.04,311.01,unhealthy
3,2025-03-30T14:23:49.375744,239.41,154.53,38.76,183.45,unhealthy
3,2025-03-30T14:23:50.376457,167.97,297.84,133.82,249.07,unhealthy
3,2025-03-30T14:23:51.377118,154.86,491.45,194.91,310.31,unhealthy
3,2025-03-30T14:23:52.377920,62.06,357.4,208.92,104.85,unhealthy
3,2025-03-30T14:23:53.378596,53.78,305.87,107.54,298.11,unhealthy
3,2025-03-30T14:23:54.379354,193.36,230.83,91.36,8.69,unhealthy
3,2025-03-30T14:23:55.379827,94.01,17.43,228.38,14.87,moderate
